pezzo;materiale;layer;L_mm;P_mm;H_mm;volume_dm3
ANTA_1_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;350;18;2050;12.915
ANTA_2_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;450;18;2050;16.605
ANTA_3_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;450;18;2050;16.605
ANTA_4_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;450;18;2050;16.605
ANTA_5_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;450;18;2050;16.605
ANTA_6_sp18_H2050;MULTI laminato OPACO;VOL_LAMINATO;350;18;2050;12.915
FASCIA_sup_frontale_sp18;MULTI laminato OPACO;VOL_LAMINATO;2730;18;25;1.228
LESENA_CDX_30x60;MULTI laminato OPACO;VOL_LAMINATO;30;60;2080;3.744
LESENA_CSX_30x60;MULTI laminato OPACO;VOL_LAMINATO;30;60;2080;3.744
LESENA_DX_30x60;MULTI laminato OPACO;VOL_LAMINATO;30;60;2080;3.744
LESENA_SX_30x60;MULTI laminato OPACO;VOL_LAMINATO;30;60;2080;3.744
LES_BATTUTA_DX_36;MULTI laminato OPACO;VOL_LAMINATO;36;18;2080;1.348
LES_BATTUTA_SX_36;MULTI laminato OPACO;VOL_LAMINATO;36;18;2080;1.348
LES_MONTANTE_1_54;MULTI laminato OPACO;VOL_LAMINATO;54;18;2080;2.022
LES_MONTANTE_2_65;MULTI laminato OPACO;VOL_LAMINATO;65;18;2080;2.434
LES_MONTANTE_3_40;MULTI laminato OPACO;VOL_LAMINATO;40;18;2080;1.498
LES_MONTANTE_4_65;MULTI laminato OPACO;VOL_LAMINATO;65;18;2080;2.434
LES_MONTANTE_5_54;MULTI laminato OPACO;VOL_LAMINATO;54;18;2080;2.022
STAFFA_sup_posteriore_sp18;MULTI laminato OPACO;VOL_LAMINATO;2730;18;34.5;1.695
FIANCO_01_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_02_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_03_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_04_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_05_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_06_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_07_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_08_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_09_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_10_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_11_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
FIANCO_12_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;580;2040;21.298
MODA_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;312;580;18;3.257
MODA_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;312;580;18;3.257
MODA_ripiano1_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
MODA_ripiano2_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
MODA_ripiano3_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
MODA_schienale_sp9;MULTI rivestito tessuto;VOL_TESSUTO;325;9;2040;5.967
MODA_spalla_ripiani_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;548;2040;20.123
MODB_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODB_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODB_ripiano1_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;530;18;3.930
MODB_schienale_sp9;MULTI rivestito tessuto;VOL_TESSUTO;425;9;2040;7.803
MODC_cass_ripiano_top_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;530;18;3.930
MODC_cass_spalla_DX_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;530;541;5.161
MODC_cass_spalla_SX_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;530;541;5.161
MODC_cassetto1_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODC_cassetto1_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODC_cassetto2_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODC_cassetto2_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODC_cassetto3_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODC_cassetto3_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODC_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODC_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODC_schienale_sp9;MULTI rivestito tessuto;VOL_TESSUTO;425;9;2040;7.803
MODD_cass_ripiano_top_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;530;18;3.930
MODD_cass_spalla_DX_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;530;541;5.161
MODD_cass_spalla_SX_sp18;MULTI rivestito tessuto;VOL_TESSUTO;18;530;541;5.161
MODD_cassetto1_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODD_cassetto1_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODD_cassetto2_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODD_cassetto2_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODD_cassetto3_fronte_sp18;MULTI rivestito tessuto;VOL_TESSUTO;376;18;180;1.218
MODD_cassetto3_vasca;MULTI rivestito tessuto;VOL_TESSUTO;304;490;150;22.344
MODD_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODD_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODD_schienale_sp9;MULTI rivestito tessuto;VOL_TESSUTO;425;9;2040;7.803
MODE_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODE_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;580;18;4.301
MODE_ripiano1_sp18;MULTI rivestito tessuto;VOL_TESSUTO;412;530;18;3.930
MODE_schienale_sp9;MULTI rivestito tessuto;VOL_TESSUTO;425;9;2040;7.803
MODF_cielo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;312;580;18;3.257
MODF_fondo_sp18;MULTI rivestito tessuto;VOL_TESSUTO;312;580;18;3.257
MODF_ripiano1_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
MODF_ripiano2_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
MODF_ripiano3_sp18;MULTI rivestito tessuto;VOL_TESSUTO;294;530;18;2.805
